cell_name	Symbol
Endothelial cell	Hspg2
Oligodendrocyte precursor cell	Mir9-3hg
Endothelial cell	Epas1
Cajal-Retzius cell	Slc22a15
Bergmann glial cell	Fbxl7
Ependymal cell	Daw1
Olfactory ensheathing glia	Plce1
Olfactory ensheathing glia	Sntb1
Endothelial cell	Slc40a1
Ependymal cell	Dnah12
Oligodendrocyte precursor cell	Serpine2
Macrophage	Snx2
Smooth muscle cell	Ednra
Cajal-Retzius cell	Diablo
Macrophage	P2ry12
Smooth muscle cell	Adap2
Macrophage	Csf1r
Microglial cell	Lrmda
Macrophage	Lrmda
Microglial cell	Ikzf1
Smooth muscle cell	Rgs5
Oligodendrocyte precursor cell	Snx25
Macrophage	Ddx60
Cajal-Retzius cell	Plekha7
Endothelial cell	Ets1
Oligodendrocyte precursor cell	Dock1
Microglial cell	Dock8
Ependymal cell	Tmem212
Ependymal cell	Dnah6
Macrophage	Inpp5d
Olfactory ensheathing glia	St6gal1
Oligodendrocyte precursor cell	Kank1
Cajal-Retzius cell	Emx2os
Macrophage	Fyb
Bergmann glial cell	Gm3764
Bergmann glial cell	Fgfr1
Bergmann glial cell	Mcc
Macrophage	Rbpj
Cajal-Retzius cell	Gpc1
Olfactory ensheathing glia	Cpne8
Endothelial cell	Fli1
Olfactory ensheathing glia	Stard13
Ependymal cell	Hydin
Olfactory ensheathing glia	Lef1
Cajal-Retzius cell	Slc2a13
Bergmann glial cell	Nhsl1
Bergmann glial cell	Slc1a3
Smooth muscle cell	Sntb1
Oligodendrocyte precursor cell	Tns3
Bergmann glial cell	Luzp2
Smooth muscle cell	Trpc3
Cajal-Retzius cell	Fmn1
Endothelial cell	Slc7a1
Ependymal cell	Ak7
Bergmann glial cell	Nwd1
Microglial cell	Fyb
Microglial cell	Nckap1l
Smooth muscle cell	Cald1
Cajal-Retzius cell	Elapor1
Bergmann glial cell	Rgma
Bergmann glial cell	Gli3
Smooth muscle cell	Rbpms
Smooth muscle cell	Airn
Olfactory ensheathing glia	Smoc1
Olfactory ensheathing glia	Pde4b
Macrophage	Aoah
Bergmann glial cell	Arhgef26
Olfactory ensheathing glia	Fabp7
Endothelial cell	Itga4
Cajal-Retzius cell	Bin1
Olfactory ensheathing glia	Ror1
Bergmann glial cell	Tcf7l1
Cajal-Retzius cell	Dach1
Oligodendrocyte precursor cell	Ppp2r2b
Cajal-Retzius cell	Dync1i1
Ependymal cell	Rgs22
Bergmann glial cell	Arhgef4
Microglial cell	Itgb5
Oligodendrocyte precursor cell	Sh3d19
Smooth muscle cell	Myo1b
Ependymal cell	Cfap61
Ependymal cell	Ccdc60
Ependymal cell	Dnah10
Ependymal cell	Iqck
Macrophage	F13a1
Olfactory ensheathing glia	Atp1a2
Bergmann glial cell	Emid1
Ependymal cell	Spef2
Smooth muscle cell	Gucy1a1
Macrophage	Colec12
Oligodendrocyte precursor cell	Gm10530
Macrophage	Arhgap15
Smooth muscle cell	Uaca
Bergmann glial cell	Col23a1
Oligodendrocyte precursor cell	Dscam
Olfactory ensheathing glia	Lrig1
Bergmann glial cell	Plce1
Smooth muscle cell	Slc6a20a
Endothelial cell	Zfp366
Smooth muscle cell	Dock6
Endothelial cell	Wwtr1
Bergmann glial cell	Vcan
Endothelial cell	Apcdd1
Bergmann glial cell	Pcx
Macrophage	Stab1
Macrophage	Cd84
Smooth muscle cell	Dlc1
Smooth muscle cell	Slc16a12
Olfactory ensheathing glia	Notch2
Olfactory ensheathing glia	Plp1
Olfactory ensheathing glia	Yap1
Bergmann glial cell	Sparcl1
Microglial cell	Lcp2
Olfactory ensheathing glia	Frzb
Olfactory ensheathing glia	Usp54
Ependymal cell	Dnah3
Endothelial cell	Sparc
Cajal-Retzius cell	Pou6f2
Cajal-Retzius cell	Cntnap2
Smooth muscle cell	Gjc1
Bergmann glial cell	Meis1
Smooth muscle cell	Itih5
Ependymal cell	Ccdc180
Oligodendrocyte precursor cell	Kcnip3
Ependymal cell	Lrguk
Bergmann glial cell	Npas3
Smooth muscle cell	Tns1
Smooth muscle cell	Atp13a5
Macrophage	Hpgds
Bergmann glial cell	Aqp4
Endothelial cell	Rhoj
Ependymal cell	Tmem232
Olfactory ensheathing glia	Lamc1
Ependymal cell	Ccdc146
Cajal-Retzius cell	Nrg1
Cajal-Retzius cell	Rbms1
Cajal-Retzius cell	Utrn
Microglial cell	Entpd1
Endothelial cell	Slc7a5
Cajal-Retzius cell	B3galt1
Bergmann glial cell	Gli2
Ependymal cell	Kif6
Ependymal cell	Clu
Ependymal cell	Ccdc153
Ependymal cell	Mia
Oligodendrocyte	Plp1
Activated neural stem cell	Thbs4
Late activated neural stem cell	Top2a
Neuroblast	Stmn2
Quiescent neural stem cell	Ntm
Activated neural stem cell	Fbxo2
Quiescent neural stem cell	Ntsr2
Neuroblast	Dcx
Quiescent neural stem cell	Mfge8
Activated neural stem cell	Fxyd1
Ependymal cell	S100b
Ependymal cell	Sox9
Late activated neural stem cell	Pclaf
Ependymal cell	Acta2
Quiescent neural stem cell	Clu
Late activated neural stem cell	Hmgb2
Ependymal cell	Gja1
Neuroblast	Celf4
Quiescent neural stem cell	Sox9
Quiescent neural stem cell	Htra1
Activated neural stem cell	Csf3
Quiescent neural stem cell	Gja1
Ependymal cell	Foxj1
Oligodendrocyte	Olig1
Late activated neural stem cell	Cdk1
Quiescent neural stem cell	Atp1a2
Activated neural stem cell	Gfap
Late activated neural stem cell	Cenpf
Ependymal cell	Tm4sf1
Neuroblast	Btg1
Late activated neural stem cell	H2ac24
Activated neural stem cell	Id3
Ependymal cell	Rarres2
Quiescent neural stem cell	Aldoc
Oligodendrocyte	Sox10
Neuroblast	Meis2
Quiescent neural stem cell	S100b
Type IB spiral ganglion neuron	Sestd1
Type IB spiral ganglion neuron	Lrrc7
Type I spiral ganglion neuron	Cep97
Type I spiral ganglion neuron	Ippk
Type II spiral ganglion neuron	Fam117a
Type IC spiral ganglion neuron	Kif26b
Type I spiral ganglion neuron	Abcg4
Type II spiral ganglion neuron	Lin28b
Type IA spiral ganglion neuron	Col4a2
Type I spiral ganglion neuron	Plxna4
Type I spiral ganglion neuron	Mapkapk3
Type I spiral ganglion neuron	Plekha2
Type I spiral ganglion neuron	Rnf115
Type I spiral ganglion neuron	Rubcn
Type IA spiral ganglion neuron	Tmem132c
Type I spiral ganglion neuron	Specc1
Type I spiral ganglion neuron	Pecr
Type I spiral ganglion neuron	Adra1d
Type II spiral ganglion neuron	Cyp39a1
Type IA spiral ganglion neuron	Tiam1
Type II spiral ganglion neuron	Gnb4
Type II spiral ganglion neuron	Pwwp3b
Type I spiral ganglion neuron	Fn3k
Type IA spiral ganglion neuron	Pcdh20
Type I spiral ganglion neuron	Amph
Type II spiral ganglion neuron	Scarletltr
Type IC spiral ganglion neuron	Clrn1
Type II spiral ganglion neuron	Tjp2
Type I spiral ganglion neuron	Arfgef1
Type IC spiral ganglion neuron	Khdrbs2
Type I spiral ganglion neuron	Spr
Type I spiral ganglion neuron	Atf6b
Type I spiral ganglion neuron	Mtx1
Type I spiral ganglion neuron	Tmem222
Type I spiral ganglion neuron	Zfp354c
Type II spiral ganglion neuron	Sema6d
Type I spiral ganglion neuron	Mecp2
Type I spiral ganglion neuron	Pcgf1
Type IA spiral ganglion neuron	Lmcd1
Type I spiral ganglion neuron	Eif1ad
Type I spiral ganglion neuron	Uap1
Type IC spiral ganglion neuron	Cckar
Type I spiral ganglion neuron	Sv2c
Type II spiral ganglion neuron	Slc36a1
Type IA spiral ganglion neuron	Tmem108
Type IA spiral ganglion neuron	Plin2
Type II spiral ganglion neuron	Pycrl
Type I spiral ganglion neuron	Clip4
Type I spiral ganglion neuron	Mrpl45
Type II spiral ganglion neuron	Acvr2a
Type I spiral ganglion neuron	Ptcd2
Type I spiral ganglion neuron	Fut8
Type I spiral ganglion neuron	Parp1
Type I spiral ganglion neuron	Kank4
Type I spiral ganglion neuron	Qrich1
Type I spiral ganglion neuron	Dhrs1
Type II spiral ganglion neuron	Sgk3
Type II spiral ganglion neuron	Chd3
Type IA spiral ganglion neuron	Por
Type I spiral ganglion neuron	Zfp322a
Type II spiral ganglion neuron	Wasf2
Type I spiral ganglion neuron	Cdk14
Type I spiral ganglion neuron	Sppl2a
Type I spiral ganglion neuron	Setx
Type II spiral ganglion neuron	Bean1
Type I spiral ganglion neuron	Cables2
Type I spiral ganglion neuron	Eral1
Type I spiral ganglion neuron	Kctd7
Type I spiral ganglion neuron	Aldoc
Type I spiral ganglion neuron	Mprip
Type II spiral ganglion neuron	Tshz3
Type I spiral ganglion neuron	Tsc22d3
Type IA spiral ganglion neuron	Pced1b
Type I spiral ganglion neuron	Brsk2
Type I spiral ganglion neuron	Ccdc9b
Type II spiral ganglion neuron	Jpt2
Type IC spiral ganglion neuron	Obi1
Type IA spiral ganglion neuron	Rpp25
Type II spiral ganglion neuron	Arhgef28
Type IC spiral ganglion neuron	Mcm6
Type II spiral ganglion neuron	Nipsnap3b
Type I spiral ganglion neuron	Ndufc2
Type I spiral ganglion neuron	Adprh
Type IA spiral ganglion neuron	Cachd1
Type IC spiral ganglion neuron	Mgat4c
Type IC spiral ganglion neuron	Plcd4
Type I spiral ganglion neuron	Agl
Type I spiral ganglion neuron	Uhmk1
Type I spiral ganglion neuron	Map7d1
Type I spiral ganglion neuron	Zdhhc5
Type I spiral ganglion neuron	Shisa4
Type IA spiral ganglion neuron	Mbd2
Type I spiral ganglion neuron	Polr3b
Type I spiral ganglion neuron	Nat8l
Type II spiral ganglion neuron	Gprasp2
Type I spiral ganglion neuron	Chchd10
Type II spiral ganglion neuron	Agpat3
Type I spiral ganglion neuron	Paqr4
Type II spiral ganglion neuron	Tmem104
Type I spiral ganglion neuron	Brms1l
Type II spiral ganglion neuron	Gm16070
Type II spiral ganglion neuron	Ptprm
Type II spiral ganglion neuron	Epha8
Type IA spiral ganglion neuron	Bag3
Type IA spiral ganglion neuron	Bves
Type IA spiral ganglion neuron	Lratd1
Type I spiral ganglion neuron	Msantd4
Type I spiral ganglion neuron	Vti1a
Type IC spiral ganglion neuron	Adam11
Type I spiral ganglion neuron	Mgst3
Type I spiral ganglion neuron	Tinf2
Type IC spiral ganglion neuron	Cit
Type I spiral ganglion neuron	Rhobtb2
Type I spiral ganglion neuron	Unc5a
Type II spiral ganglion neuron	Rin2
Type II spiral ganglion neuron	Cbx4
Type I spiral ganglion neuron	Nkrf
Type I spiral ganglion neuron	Lsmem1
Type I spiral ganglion neuron	B9d2
Type II spiral ganglion neuron	Slc29a4
Type I spiral ganglion neuron	Peg13
Type II spiral ganglion neuron	Itga9
Type II spiral ganglion neuron	Sdsl
Type II spiral ganglion neuron	Gpd2
Type II spiral ganglion neuron	Ccdc167
Type I spiral ganglion neuron	AI854703
Type I spiral ganglion neuron	Atxn7l3
Type II spiral ganglion neuron	Scg2
Type II spiral ganglion neuron	Pim2
Type I spiral ganglion neuron	Fign
Type I spiral ganglion neuron	Entpd3
Type I spiral ganglion neuron	Stk40
Type IA spiral ganglion neuron	Carhsp1
Type II spiral ganglion neuron	Mmgt2
Type II spiral ganglion neuron	Rrbp1
Type I spiral ganglion neuron	Ank1
Type I spiral ganglion neuron	Steap2
Type I spiral ganglion neuron	Ttc17
Type II spiral ganglion neuron	Acadl
Type I spiral ganglion neuron	Galnt17
Type IA spiral ganglion neuron	Ttc38
Type I spiral ganglion neuron	Auh
Type I spiral ganglion neuron	0610030E20Rik
Type IA spiral ganglion neuron	Asap2
Type II spiral ganglion neuron	Id3
Type II spiral ganglion neuron	Fam227a
Type II spiral ganglion neuron	Tuba8
Type II spiral ganglion neuron	Crip2
Type I spiral ganglion neuron	Gadd45b
Type I spiral ganglion neuron	Dcaf10
Type I spiral ganglion neuron	Stk24
Type II spiral ganglion neuron	2900026A02Rik
Type II spiral ganglion neuron	Neurl1a
Type IA spiral ganglion neuron	Gm12992
Type I spiral ganglion neuron	Ckmt2
Type I spiral ganglion neuron	Atp13a2
Type I spiral ganglion neuron	Pld5
Type II spiral ganglion neuron	Fxyd6
Type II spiral ganglion neuron	Plcb3
Type I spiral ganglion neuron	Kndc1
Type I spiral ganglion neuron	Ppp2r2c
Type II spiral ganglion neuron	Il3ra
Type I spiral ganglion neuron	Strip2
Type I spiral ganglion neuron	Nmrk1
Type I spiral ganglion neuron	Tle5
Type II spiral ganglion neuron	Pwwp2b
Type I spiral ganglion neuron	Fez2
Type IC spiral ganglion neuron	Anks1b
Type I spiral ganglion neuron	Abca3
Type IA spiral ganglion neuron	Me1
Type I spiral ganglion neuron	Msantd3
Type IA spiral ganglion neuron	Afap1l1
Type I spiral ganglion neuron	Fam98c
Type I spiral ganglion neuron	Gpcpd1
Type IC spiral ganglion neuron	Galnt13
Type I spiral ganglion neuron	Syap1
Type I spiral ganglion neuron	Fam53b
Type II spiral ganglion neuron	Shroom3
Type I spiral ganglion neuron	Lmcd1
Type I spiral ganglion neuron	Plvap
Type II spiral ganglion neuron	Dnph1
Type IC spiral ganglion neuron	P3h4
Type I spiral ganglion neuron	4931428F04Rik
Type I spiral ganglion neuron	Ogfr
Type I spiral ganglion neuron	Me3
Type IC spiral ganglion neuron	Sncg
Type I spiral ganglion neuron	Tpbgl
Type I spiral ganglion neuron	Lgi2
Type I spiral ganglion neuron	Gm13629
Type I spiral ganglion neuron	Pten
Type IC spiral ganglion neuron	Slit2
Type I spiral ganglion neuron	Luzp1
Type I spiral ganglion neuron	Vsnl1
Type I spiral ganglion neuron	Pcnx2
Type IC spiral ganglion neuron	Lrrk2
Type IA spiral ganglion neuron	Calb2
Type I spiral ganglion neuron	Rdh14
Type I spiral ganglion neuron	Mtfr1
Type II spiral ganglion neuron	Scrib
Type I spiral ganglion neuron	Btg1
Type II spiral ganglion neuron	Gng10
Type I spiral ganglion neuron	Nr1d2
Type I spiral ganglion neuron	Ppp1r8
Type I spiral ganglion neuron	Gcsh
Type IA spiral ganglion neuron	Snta1
Type IB spiral ganglion neuron	Tmprss4
Type II spiral ganglion neuron	Efnb1
Type I spiral ganglion neuron	Trim36
Type I spiral ganglion neuron	Ank3
Type I spiral ganglion neuron	Rgs2
Type I spiral ganglion neuron	Ddx19b
Type I spiral ganglion neuron	Fam234b
Type IC spiral ganglion neuron	Islr2
Type I spiral ganglion neuron	Prox1
Type I spiral ganglion neuron	Gcnt4
Type I spiral ganglion neuron	Arl6ip4
Type I spiral ganglion neuron	Ppargc1b
Type I spiral ganglion neuron	Rita1
Type IA spiral ganglion neuron	Slc7a2
Type I spiral ganglion neuron	Tspyl5
Type IA spiral ganglion neuron	Ptprd
Type I spiral ganglion neuron	Trpm2
Type II spiral ganglion neuron	Mpdu1
Type I spiral ganglion neuron	Ube2e2
Type IC spiral ganglion neuron	Zfp536
Type I spiral ganglion neuron	Fam13b
Type II spiral ganglion neuron	Rims3
Type II spiral ganglion neuron	Muc15
Type IA spiral ganglion neuron	Frmd5
Type I spiral ganglion neuron	Mrs2
Type II spiral ganglion neuron	Epb41
Type II spiral ganglion neuron	Vav3
Type I spiral ganglion neuron	Myo16
Type IB spiral ganglion neuron	Kcnq1
Type II spiral ganglion neuron	Necab1
Type I spiral ganglion neuron	Arl8a
Type I spiral ganglion neuron	Slc20a2
Type I spiral ganglion neuron	Kcns1
Type I spiral ganglion neuron	Churc1
Type I spiral ganglion neuron	St3gal2
Type I spiral ganglion neuron	Spata13
Type I spiral ganglion neuron	Obi1
Type I spiral ganglion neuron	Iqsec2
Type I spiral ganglion neuron	Mrps2
Type I spiral ganglion neuron	Pik3r1
Type IA spiral ganglion neuron	Tmem65
Type I spiral ganglion neuron	Asb8
Type II spiral ganglion neuron	Mfap3
Type II spiral ganglion neuron	Ssr4
Type I spiral ganglion neuron	Limk1
Type I spiral ganglion neuron	E2f6
Type I spiral ganglion neuron	Dusp15
Type I spiral ganglion neuron	Sema7a
Type IC spiral ganglion neuron	Dcbld2
Type I spiral ganglion neuron	Map3k10
Type IC spiral ganglion neuron	Prr15
Type I spiral ganglion neuron	Sowahb
Type I spiral ganglion neuron	Tor2a
Type I spiral ganglion neuron	Prps1
Type II spiral ganglion neuron	Nnat
Type II spiral ganglion neuron	Hpca
Type I spiral ganglion neuron	Hapln1
Type I spiral ganglion neuron	Esrrg
Type II spiral ganglion neuron	Gpr149
Type I spiral ganglion neuron	Dlgap3
Type I spiral ganglion neuron	Gga3
Type I spiral ganglion neuron	Snph
Type I spiral ganglion neuron	Etf1
Type II spiral ganglion neuron	Psen2
Type IB spiral ganglion neuron	Lrrc52
Type II spiral ganglion neuron	Tbc1d22a
Type IC spiral ganglion neuron	Gab1
Type I spiral ganglion neuron	Eif2ak4
Type II spiral ganglion neuron	Zbtb8a
Type I spiral ganglion neuron	Rassf4
Type I spiral ganglion neuron	Dusp27
Type IC spiral ganglion neuron	Gstp1
Type I spiral ganglion neuron	Ptpn3
Type I spiral ganglion neuron	Ankrd34a
Type I spiral ganglion neuron	Syt3
Type I spiral ganglion neuron	Gria4
Type I spiral ganglion neuron	Fbxo41
Type II spiral ganglion neuron	Clint1
Type II spiral ganglion neuron	Rcn1
Type I spiral ganglion neuron	Sec31a
Type IC spiral ganglion neuron	Plce1
Type I spiral ganglion neuron	Ythdc2
Type II spiral ganglion neuron	Baalc
Type I spiral ganglion neuron	Gm5113
Type I spiral ganglion neuron	Apbb2
Type II spiral ganglion neuron	Tmem132e
Type I spiral ganglion neuron	Parva
Type I spiral ganglion neuron	Afap1l1
Type II spiral ganglion neuron	Xist
Type I spiral ganglion neuron	Mapkapk2
Type I spiral ganglion neuron	Gm9866
Type I spiral ganglion neuron	Usp47
Type I spiral ganglion neuron	Cdh18
Type IA spiral ganglion neuron	Rilpl1
Type I spiral ganglion neuron	Zfp521
Type I spiral ganglion neuron	Mrps9
Type I spiral ganglion neuron	Atg16l1
Type II spiral ganglion neuron	Gpr88
Type IB spiral ganglion neuron	Anxa5
Type I spiral ganglion neuron	Fbxo34
Type II spiral ganglion neuron	Vwa1
Type I spiral ganglion neuron	Spsb4
Type IB spiral ganglion neuron	Ezr
Type I spiral ganglion neuron	Cs
Type I spiral ganglion neuron	Ubl4a
Type I spiral ganglion neuron	Tpm1
Type I spiral ganglion neuron	Wdr75
Type IB spiral ganglion neuron	Tmem196
Type II spiral ganglion neuron	Slc6a4
Type I spiral ganglion neuron	Dkc1
Type II spiral ganglion neuron	Alcam
Type I spiral ganglion neuron	Inpp5e
Type I spiral ganglion neuron	Pdzd2
Type I spiral ganglion neuron	Zfp511
Type II spiral ganglion neuron	Cd74
Type I spiral ganglion neuron	Cdadc1
Type IA spiral ganglion neuron	Gxylt2
Type IC spiral ganglion neuron	Sema4d
Type II spiral ganglion neuron	Csf1r
Type IC spiral ganglion neuron	Gldn
Type I spiral ganglion neuron	Pcsk2
Type I spiral ganglion neuron	Rab6b
Type II spiral ganglion neuron	Mc4r
Type II spiral ganglion neuron	Cnksr2
Type I spiral ganglion neuron	Gzf1
Type I spiral ganglion neuron	Hmga1
Type II spiral ganglion neuron	Sestd1
Type II spiral ganglion neuron	Cachd1
Type I spiral ganglion neuron	Borcs6
Type II spiral ganglion neuron	Hyi
Type IC spiral ganglion neuron	Arpp21
Type I spiral ganglion neuron	Csmd1
Type II spiral ganglion neuron	Fbxw17
Type I spiral ganglion neuron	Ythdf3
Type II spiral ganglion neuron	Myo7a
Type I spiral ganglion neuron	Enah
Type IB spiral ganglion neuron	Slc29a3
Type IA spiral ganglion neuron	Arhgdig
Type I spiral ganglion neuron	Ddit3
Type II spiral ganglion neuron	Igsf1
Type I spiral ganglion neuron	Ppargc1a
Type I spiral ganglion neuron	Herc3
Type II spiral ganglion neuron	Castor1
Type I spiral ganglion neuron	Abt1
Type II spiral ganglion neuron	Pithd1
Type I spiral ganglion neuron	Yars2
Type I spiral ganglion neuron	Kbtbd2
Type I spiral ganglion neuron	Tlr5
Type II spiral ganglion neuron	Shisa2
Type I spiral ganglion neuron	Pik3cb
Type IC spiral ganglion neuron	Zeb2
Type II spiral ganglion neuron	Sugct
Type I spiral ganglion neuron	Thy1
Type I spiral ganglion neuron	Bfar
Type IC spiral ganglion neuron	Insyn1
Type IA spiral ganglion neuron	Cacna1h
Type I spiral ganglion neuron	Insyn1
Type I spiral ganglion neuron	B3galt1
Type II spiral ganglion neuron	Cilp
Type I spiral ganglion neuron	Peg3
Type II spiral ganglion neuron	Tubb2a-ps2
Type II spiral ganglion neuron	Fnbp1l
Type I spiral ganglion neuron	Akain1
Type II spiral ganglion neuron	Chn2
Type II spiral ganglion neuron	Islr
Type IA spiral ganglion neuron	Cdh22
Type I spiral ganglion neuron	Slc35b4
Type II spiral ganglion neuron	Minar2
Type II spiral ganglion neuron	Cyb5a
Type II spiral ganglion neuron	Ro60
Type I spiral ganglion neuron	Psme3
Type I spiral ganglion neuron	Tet1
Type II spiral ganglion neuron	Fdft1
Type II spiral ganglion neuron	Adam17
Type II spiral ganglion neuron	Slc35d1
Type I spiral ganglion neuron	Colgalt2
Type I spiral ganglion neuron	Pitpna
Type I spiral ganglion neuron	Mul1
Type I spiral ganglion neuron	Tubgcp5
Type IC spiral ganglion neuron	Hap1
Type II spiral ganglion neuron	Lims2
Type II spiral ganglion neuron	Asap3
Type I spiral ganglion neuron	Sdc4
Type I spiral ganglion neuron	Kif5c
Type I spiral ganglion neuron	Aph1a
Type IC spiral ganglion neuron	Sphkap
Type I spiral ganglion neuron	Scn4b
Type I spiral ganglion neuron	Fam189a2
Type II spiral ganglion neuron	Atg16l2
Type I spiral ganglion neuron	Prkcb
Type II spiral ganglion neuron	Smad7
Type IA spiral ganglion neuron	Rhou
Type I spiral ganglion neuron	Sun2
Type IC spiral ganglion neuron	Ntng1
Type I spiral ganglion neuron	Ttbk1
Type I spiral ganglion neuron	Lrrc45
Type I spiral ganglion neuron	Rora
Type I spiral ganglion neuron	Patl1
Type II spiral ganglion neuron	Capn5
Type I spiral ganglion neuron	Ddx25
Type I spiral ganglion neuron	Atg101
Type I spiral ganglion neuron	Hif1an
Type II spiral ganglion neuron	Ldha
Type I spiral ganglion neuron	Kpna6
Type I spiral ganglion neuron	Gpat3
Type I spiral ganglion neuron	Fam78a
Type II spiral ganglion neuron	Agtrap
Type II spiral ganglion neuron	Pkig
Type I spiral ganglion neuron	Usp14
Type II spiral ganglion neuron	Cacna2d1
Type IA spiral ganglion neuron	Sema4g
Type IC spiral ganglion neuron	Arnt2
Type I spiral ganglion neuron	Ranbp6
Type I spiral ganglion neuron	Rap2a
Type I spiral ganglion neuron	Usp8
Type II spiral ganglion neuron	Slc52a3
Type IB spiral ganglion neuron	Cfap161
Type IC spiral ganglion neuron	Elfn2
Type II spiral ganglion neuron	Nubpl
Type IA spiral ganglion neuron	Sash1
Type I spiral ganglion neuron	Mrps17
Type II spiral ganglion neuron	Tmem221
Type I spiral ganglion neuron	Kdm7a
Type I spiral ganglion neuron	Vps52
Type II spiral ganglion neuron	Nmb
Type IA spiral ganglion neuron	Creg2
Type IC spiral ganglion neuron	Adgrb3
Type I spiral ganglion neuron	Azin1
Type I spiral ganglion neuron	Cygb
Type I spiral ganglion neuron	Kcns3
Type I spiral ganglion neuron	Med24
Type I spiral ganglion neuron	Slc22a15
Type IC spiral ganglion neuron	Slitrk2
Type II spiral ganglion neuron	Cthrc1
Type II spiral ganglion neuron	Nsg2
Type II spiral ganglion neuron	Syt5
Type IC spiral ganglion neuron	Rab15
Type I spiral ganglion neuron	Sephs2
Type II spiral ganglion neuron	Sec61a1
Type II spiral ganglion neuron	Sprn
Type II spiral ganglion neuron	Gata2
Type I spiral ganglion neuron	Fh1
Type II spiral ganglion neuron	Mtcl1
Type I spiral ganglion neuron	Col19a1
Type I spiral ganglion neuron	Gng7
Type I spiral ganglion neuron	Heatr5a
Type I spiral ganglion neuron	Pik3r4
Type I spiral ganglion neuron	Dhx16
Type II spiral ganglion neuron	Rrm2b
Type II spiral ganglion neuron	Rybp
Type II spiral ganglion neuron	Phldb2
Type I spiral ganglion neuron	AU022252
Type IC spiral ganglion neuron	Hrh3
Type IA spiral ganglion neuron	Dpy19l1
Type II spiral ganglion neuron	Ppp1r27
Type II spiral ganglion neuron	Slc36a2
Type I spiral ganglion neuron	Panx1
Type II spiral ganglion neuron	Gm19522
Type II spiral ganglion neuron	Spsb1
Type I spiral ganglion neuron	Iffo1
Type I spiral ganglion neuron	Larp1b
Type I spiral ganglion neuron	Crot
Type I spiral ganglion neuron	B3gnt2
Type II spiral ganglion neuron	Fxyd2
Type I spiral ganglion neuron	Arhgap31
Type II spiral ganglion neuron	Cd200
Type I spiral ganglion neuron	Cnnm2
Type II spiral ganglion neuron	Gabpa
Type IC spiral ganglion neuron	Cyth3
Type I spiral ganglion neuron	Mettl22
Type IA spiral ganglion neuron	Csf1
Type I spiral ganglion neuron	Vwa7
Type I spiral ganglion neuron	Ppa2
Type I spiral ganglion neuron	Hhatl
Type I spiral ganglion neuron	Gpatch1
Type IA spiral ganglion neuron	Lrfn2
Type I spiral ganglion neuron	Sema3e
Type II spiral ganglion neuron	Foxj2
Type I spiral ganglion neuron	Aar2
Type II spiral ganglion neuron	Rnf44
Type II spiral ganglion neuron	Bmp7
Type I spiral ganglion neuron	Sucla2
Type II spiral ganglion neuron	Efna5
Type I spiral ganglion neuron	Traf3
Type I spiral ganglion neuron	Tab1
Type I spiral ganglion neuron	Sfxn5
Type I spiral ganglion neuron	Sfxn3
Type II spiral ganglion neuron	Morn4
Type IC spiral ganglion neuron	Pou4f1
Type I spiral ganglion neuron	Jak1
Type I spiral ganglion neuron	Atp6v1g2
Type IC spiral ganglion neuron	Cdh8
Type II spiral ganglion neuron	Efs
Type IC spiral ganglion neuron	Fut8
Type I spiral ganglion neuron	A230056P14Rik
Type II spiral ganglion neuron	Gadd45g
Type I spiral ganglion neuron	Ube2v2
Type I spiral ganglion neuron	Tubgcp3
Type I spiral ganglion neuron	Zfp687
Type IA spiral ganglion neuron	Wscd2
Type I spiral ganglion neuron	Ptpmt1
Type II spiral ganglion neuron	Adamtsl5
Type I spiral ganglion neuron	Fbxw7
Type I spiral ganglion neuron	Rnf121
Type II spiral ganglion neuron	Sik1
Type I spiral ganglion neuron	Tsku
Type I spiral ganglion neuron	Slco5a1
Type I spiral ganglion neuron	Rnf157
Type I spiral ganglion neuron	Ncaph2
Type II spiral ganglion neuron	Fstl5
Type II spiral ganglion neuron	Magef1
Type I spiral ganglion neuron	Ethe1
Type II spiral ganglion neuron	Arhgap36
Type I spiral ganglion neuron	Mapk6
Type IC spiral ganglion neuron	Rgs12
Type I spiral ganglion neuron	Inpp5f
Type I spiral ganglion neuron	Kcna2
Type II spiral ganglion neuron	Fnbp1
Type IC spiral ganglion neuron	Dach1
Type IC spiral ganglion neuron	Gm20063
Type IC spiral ganglion neuron	Fam3c
Type I spiral ganglion neuron	Tspan17
Type II spiral ganglion neuron	Grin2c
Type I spiral ganglion neuron	Herpud1
Type IA spiral ganglion neuron	Cacna1b
Type IA spiral ganglion neuron	Hydin
Type II spiral ganglion neuron	Cacna1e
Type II spiral ganglion neuron	Phf12
Type I spiral ganglion neuron	D17H6S53E
Type I spiral ganglion neuron	Susd6
Type I spiral ganglion neuron	Cdr1
Type IA spiral ganglion neuron	Rxrg
Type IA spiral ganglion neuron	Cdk15
Type I spiral ganglion neuron	Amigo3
Type II spiral ganglion neuron	Tmem169
Type IA spiral ganglion neuron	Erich1
Type IC spiral ganglion neuron	Gpr155
Type II spiral ganglion neuron	Akap13
Type II spiral ganglion neuron	Lxn
Type IA spiral ganglion neuron	Pygl
Type I spiral ganglion neuron	Ccbe1
Type I spiral ganglion neuron	Rab3ip
Type IC spiral ganglion neuron	Cplx2
Type I spiral ganglion neuron	Hipk2
Type II spiral ganglion neuron	Snca
